BU_UOX,BU_MOX,Fr_MOX,TC_MOX,Pu_TOT
34.27,62.0,0.1856,7.915,12.246911
34.29,60.51,0.15,8.063,12.621675
34.38,31.21,0.1436,18.34,13.84503
34.42,45.81,0.0214,17.24,18.184792
34.39,45.9,0.1477,5.852,12.791181
34.28,43.14,0.04899,5.088,17.156959
34.54,39.22,0.1749,11.76,13.000065
34.37,44.59,0.06273,3.179,16.207414
34.3,60.86,0.096,10.86,14.746253
34.53,42.96,0.04494,19.4,17.158187
34.35,31.7,0.08606,19.77,15.532369
34.44,38.03,0.157,10.12,13.157607
34.47,46.41,0.1316,11.28,13.252907
34.22,41.88,0.1004,2.499,14.580101
34.21,62.99,0.01129,4.765,18.711112
34.42,36.32,0.132,17.87,13.811859
34.48,34.13,0.002216,5.336,19.08154
34.29,34.97,0.09563,18.22,15.065891
34.31,40.59,0.07056,10.54,16.154192
34.33,57.97,0.1266,15.47,13.522523
34.41,32.09,0.1133,6.305,14.35304
34.43,30.15,0.06833,17.81,16.373389
34.23,45.73,0.1217,10.51,13.637956
34.37,55.03,0.08661,3.148,15.486031
34.43,37.67,0.05769,12.48,16.69002
34.39,43.28,0.003895,5.409,19.030859
34.25,38.69,0.108,12.6,14.356539
34.5,33.1,0.05345,15.87,16.923685
34.24,53.87,0.04015,5.085,17.464154
34.51,59.79,0.02874,4.29,17.739963
34.28,37.72,0.1921,4.762,12.497155
34.54,59.04,0.1463,13.87,12.902807
34.22,41.78,0.1663,5.642,12.734024
34.47,46.3,0.1919,0.6009,12.155179
34.21,30.31,0.01853,8.189,18.457694
34.41,38.51,0.04596,5.755,17.29021
34.44,56.61,0.1493,6.805,12.649706
34.34,48.92,0.1931,2.545,12.14701
34.26,35.41,0.1413,10.65,13.485349
34.46,59.57,0.1651,12.21,12.60229
34.35,51.56,0.06137,3.602,16.577766
34.38,53.89,0.186,13.51,12.631774
34.53,48.55,0.1455,2.971,12.670664
34.34,33.61,0.1006,0.1626,15.36737
34.29,51.61,0.164,10.26,12.625827
34.5,61.67,0.1951,11.49,12.253946
34.27,55.64,0.02572,17.64,18.011158
34.36,59.45,0.07461,4.666,15.930122
34.25,51.2,0.03743,8.934,17.546894
34.2,64.69,0.06351,17.12,16.189185
34.28,61.71,0.0444,19.17,17.129307
34.35,64.36,0.1183,18.3,14.113954
34.53,44.16,0.06691,19.03,16.245198
34.32,50.55,0.1172,9.177,13.993758
34.4,54.75,0.05652,2.32,16.563188
34.2,59.85,0.06373,16.63,16.3502
34.39,53.25,0.1889,3.604,12.169058
34.46,47.85,0.02474,9.819,17.977418
34.37,54.97,0.04311,3.426,17.35014
34.52,60.29,0.1724,15.51,12.607397
34.33,41.06,0.09709,11.0,14.823587
34.3,32.24,0.1432,14.97,13.656574
34.33,50.9,0.131,19.59,13.541187
34.54,62.5,0.1194,9.312,13.577741
34.5,47.21,0.07891,8.023,15.748793
34.26,51.36,0.1767,6.414,12.300787
34.4,36.2,0.1745,8.635,13.016931
34.31,31.39,0.1045,0.5272,14.799122
34.24,45.86,0.1554,15.57,13.112464
34.44,31.15,0.1642,15.47,13.471013
34.48,31.34,0.06783,4.042,16.509115
34.38,43.63,0.07146,6.735,15.955052
34.51,47.71,0.1739,8.959,12.553116
34.46,60.9,0.09013,11.84,14.956094
43.18,44.91,0.002343,12.02,17.126067
43.1,38.94,0.003094,3.122,17.100633
43.12,47.7,0.04428,5.444,15.214645
42.99,51.24,0.01946,12.79,16.313754
43.24,62.61,0.05485,0.7714,14.625389
42.98,45.87,0.1048,14.65,12.621181
43.21,42.95,0.1405,6.216,11.831666
43.0,46.27,0.1874,9.868,11.411511
43.11,48.14,0.07397,19.76,13.964007
43.29,32.43,0.02233,10.92,16.16106
42.96,56.72,0.007373,5.765,16.941709
43.03,57.46,0.1154,6.14,12.153917
43.23,32.42,0.02567,1.786,16.239883
43.3,40.0,0.02956,2.887,16.024561
43.04,49.68,0.1635,19.21,11.833625
43.04,58.55,0.1803,6.009,11.11278
43.15,42.76,0.1238,14.98,12.383498
42.98,55.13,0.1481,12.97,11.745855
43.0,30.96,0.07501,9.414,14.197609
43.08,30.82,0.01762,13.39,16.503602
43.27,39.74,0.08013,1.126,14.074564
43.11,58.89,0.04826,14.06,15.120935
43.05,53.68,0.1541,2.15,11.235936
43.13,53.06,0.03658,4.003,15.691485
43.1,56.8,0.02229,4.925,16.154082
43.06,50.24,0.114,12.86,12.30468
43.16,63.48,0.1421,7.627,11.408301
43.25,42.74,0.1523,2.536,11.654995
43.14,39.27,0.01886,1.598,16.333043
