P1,P2,Pi,C1,C2,Ci
8775,1278,15,8775,1278,16
1892,1278,15,1892,1278,16
9152,8915,15,9152,8915,16
9152,8973,15,9152,8973,16
9152,7635,15,9152,7635,16
8775,8927,15,8775,8927,16
9152,8972,15,9152,8972,16
9152,1278,15,9152,1278,16
9152,8927,15,9152,8927,16
9518,8927,15,9518,8927,16
9152,8900,15,9152,8900,16
1892,8927,15,1892,8927,16
9152,9960,15,9152,9960,16
9178,1278,15,9178,1278,16
9646,1256,15,9646,1256,16
9518,1278,15,9518,1278,16
9178,9953,15,9178,9953,16
8775,9953,15,8775,9953,16
9646,7635,15,9646,7635,16
9152,1256,15,9152,1256,16
9646,8927,16,9646,8927,17
9152,9953,16,9152,9953,17
9178,8972,16,9178,8972,17
9518,8915,16,9518,8915,17
9152,1239,16,9152,1239,17
9178,8927,16,9178,8927,17
8775,1278,16,8775,1278,17
1892,1278,16,1892,1278,17
9152,8915,16,9152,8915,17
9152,8973,16,9152,8973,17
9152,9925,16,9152,9925,17
8775,9925,16,8775,9925,17
9152,7635,16,9152,7635,17
8775,8927,16,8775,8927,17
9152,8927,16,9152,8927,17
9152,1278,16,9152,1278,17
9152,8972,16,9152,8972,17
9518,8927,16,9518,8927,17
9152,8900,16,9152,8900,17
1892,8927,16,1892,8927,17
9152,9960,16,9152,9960,17
9178,1278,16,9178,1278,17
9646,1256,16,9646,1256,17
9518,1278,16,9518,1278,17
9178,9953,16,9178,9953,17
8775,9953,16,8775,9953,17
9646,7635,16,9646,7635,17
9152,1256,16,9152,1256,17
9152,9953,17,9152,9953,18
9178,8972,17,9178,8972,18
9646,8927,17,9646,8927,18
9518,8915,17,9518,8915,18
9152,6766,17,9152,6766,18
9152,1239,17,9152,1239,18
9178,8927,17,9178,8927,18
8775,1278,17,8775,1278,18
1892,1278,17,1892,1278,18
9152,8915,17,9152,8915,18
9152,8973,17,9152,8973,18
9152,9925,17,9152,9925,18
8775,9925,17,8775,9925,18
9152,7635,17,9152,7635,18
8775,8927,17,8775,8927,18
9152,8972,17,9152,8972,18
9152,1278,17,9152,1278,18
9152,8927,17,9152,8927,18
9518,8927,17,9518,8927,18
9152,8900,17,9152,8900,18
1892,8927,17,1892,8927,18
9152,9960,17,9152,9960,18
9178,1278,17,9178,1278,18
9646,1256,17,9646,1256,18
9518,1278,17,9518,1278,18
9178,9953,17,9178,9953,18
8775,9953,17,8775,9953,18
9646,7635,17,9646,7635,18
9152,1256,17,9152,1256,18
9646,8927,18,9646,8927,19
9178,8972,18,9178,8972,19
9152,9953,18,9152,9953,19
9152,9292,18,9152,9292,19
9152,6766,18,9152,6766,19
9518,8915,18,9518,8915,19
9152,1239,18,9152,1239,19
9178,8927,18,9178,8927,19
8775,1278,18,8775,1278,19
1892,1278,18,1892,1278,19
9152,8915,18,9152,8915,19
9152,8973,18,9152,8973,19
9152,9925,18,9152,9925,19
8775,9925,18,8775,9925,19
9152,7635,18,9152,7635,19
8775,8927,18,8775,8927,19
9152,8972,18,9152,8972,19
9152,1278,18,9152,1278,19
9152,8927,18,9152,8927,19
9518,8927,18,9518,8927,19
9152,8900,18,9152,8900,19
1892,8927,18,1892,8927,19
9152,9960,18,9152,9960,19
9178,1278,18,9178,1278,19
